Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
5.35,174,36,14,282,158,Good,78,13,No,Yes
7.11,89,49,2,329,142,Good,74,10,Yes,Yes
12.29,92,92,29,330,96,Bad,75,15,Yes,Yes
5.51,110,48,19,279,160,Medium,35,13,No,No
20.07,100,109,25,304,42,Good,68,12,Yes,Yes
13.9,89,78,21,270,26,Bad,40,10,Yes,Yes
8.39,82,79,4,13,124,Good,52,10,Yes,Yes
12.63,115,109,0,413,130,Good,63,14,Yes,No
12.85,78,97,27,91,181,Good,60,15,No,Yes
3.66,87,34,26,154,179,Bad,43,17,Yes,No
1.72,83,39,20,392,169,Bad,78,12,Yes,Yes
8.35,83,99,5,337,163,Bad,60,15,Yes,Yes
18.15,179,99,26,162,73,Medium,46,11,Yes,Yes
8.11,115,41,24,277,96,Medium,53,15,No,No
11.54,152,92,17,160,112,Medium,58,12,Yes,No
11.27,162,76,4,70,27,Medium,50,11,No,No
9.51,127,65,24,229,136,Medium,35,15,Yes,Yes
16.33,128,112,0,140,35,Bad,26,15,Yes,Yes
10.42,79,65,17,402,81,Medium,46,12,No,Yes
5.16,153,36,17,82,167,Good,50,16,Yes,No
10.98,106,108,8,227,155,Good,35,12,Yes,No
11.05,86,96,9,304,142,Bad,66,16,Yes,Yes
9.19,149,98,4,62,181,Good,38,11,Yes,Yes
9.56,82,50,9,235,91,Medium,76,16,No,Yes
17.45,130,116,12,354,80,Good,27,13,No,No
12.75,184,103,16,329,143,Bad,43,17,Yes,No
4.33,142,25,3,415,103,Medium,45,14,No,No
4.57,120,49,0,14,69,Bad,32,15,Yes,Yes
14.37,156,86,14,425,114,Good,65,14,Yes,Yes
15.35,139,70,29,253,103,Medium,46,16,No,Yes
18.64,153,70,23,213,35,Good,62,14,No,No
9.98,124,108,0,175,157,Medium,71,11,Yes,Yes
10.12,153,78,24,273,182,Medium,44,15,No,Yes
15.26,98,101,28,160,92,Medium,51,17,Yes,Yes
8.68,95,62,11,134,83,Medium,31,15,No,Yes
16.18,166,111,1,308,56,Medium,25,14,Yes,Yes
12.97,90,87,18,197,61,Medium,33,15,No,Yes
7.61,171,68,14,233,149,Bad,46,15,Yes,Yes
9.27,169,38,12,320,84,Bad,72,10,Yes,Yes
14.61,182,41,8,467,69,Medium,62,12,Yes,Yes
9.95,162,59,5,381,53,Medium,28,11,Yes,Yes
7.74,83,85,24,445,179,Bad,71,16,Yes,Yes
9.82,177,27,2,92,51,Good,65,16,Yes,No
11.39,125,43,17,289,53,Good,66,11,Yes,No
12.29,117,100,15,93,150,Medium,53,10,No,Yes
14.42,103,95,3,291,96,Good,61,12,No,Yes
8.26,107,55,21,323,99,Bad,64,17,Yes,Yes
9.76,82,61,16,207,121,Good,26,14,Yes,Yes
